JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2452768.4591,15.252,0.15,,CR,MLF,,000-BBV-540,000-BBV-542,,UGSU+E,0,,Z,12.1,13.85,,OU VIR,,STD,,,,
2452768.4597,15.116,0.15,,CR,MLF,,000-BBV-540,000-BBV-542,,UGSU+E,0,,Z,12.1,13.85,,OU VIR,,STD,,,,
2452768.4604,15.236,0.15,,CR,MLF,,000-BBV-540,000-BBV-542,,UGSU+E,0,,Z,12.1,13.85,,OU VIR,,STD,,,,
2452768.4611,15.137,0.15,,CR,MLF,,000-BBV-540,000-BBV-542,,UGSU+E,0,,Z,12.1,13.85,,OU VIR,,STD,,,,
2452768.4618,15.173,0.15,,CR,MLF,,000-BBV-540,000-BBV-542,,UGSU+E,0,,Z,12.1,13.85,,OU VIR,,STD,,,,
2452768.4625,15.267,0.15,,CR,MLF,,000-BBV-540,000-BBV-542,,UGSU+E,0,,Z,12.1,13.85,,OU VIR,,STD,,,,
2452768.4632,15.196,0.15,,CR,MLF,,000-BBV-540,000-BBV-542,,UGSU+E,0,,Z,12.1,13.85,,OU VIR,,STD,,,,
2452768.4639,15.214,0.15,,CR,MLF,,000-BBV-540,000-BBV-542,,UGSU+E,0,,Z,12.1,13.85,,OU VIR,,STD,,,,
2452768.4646,15.234,0.15,,CR,MLF,,000-BBV-540,000-BBV-542,,UGSU+E,0,,Z,12.1,13.85,,OU VIR,,STD,,,,
2452768.4652,15.289,0.15,,CR,MLF,,000-BBV-540,000-BBV-542,,UGSU+E,0,,Z,12.1,13.85,,OU VIR,,STD,,,,
2452768.4666,15.197,0.15,,CR,MLF,,000-BBV-540,000-BBV-542,,UGSU+E,0,,Z,12.1,13.85,,OU VIR,,STD,,,,
2452768.4673,15.222,0.15,,CR,MLF,,000-BBV-540,000-BBV-542,,UGSU+E,0,,Z,12.1,13.85,,OU VIR,,STD,,,,
2452768.4680,15.329,0.15,,CR,MLF,,000-BBV-540,000-BBV-542,,UGSU+E,0,,Z,12.1,13.85,,OU VIR,,STD,,,,
2452768.4687,15.363,0.15,,CR,MLF,,000-BBV-540,000-BBV-542,,UGSU+E,0,,Z,12.1,13.85,,OU VIR,,STD,,,,
2452768.4694,15.215,0.15,,CR,MLF,,000-BBV-540,000-BBV-542,,UGSU+E,0,,Z,12.1,13.85,,OU VIR,,STD,,,,
2452768.4701,15.287,0.15,,CR,MLF,,000-BBV-540,000-BBV-542,,UGSU+E,0,,Z,12.1,13.85,,OU VIR,,STD,,,,
2452768.4707,15.258,0.15,,CR,MLF,,000-BBV-540,000-BBV-542,,UGSU+E,0,,Z,12.1,13.85,,OU VIR,,STD,,,,
2452768.4721,15.197,0.15,,CR,MLF,,000-BBV-540,000-BBV-542,,UGSU+E,0,,Z,12.1,13.85,,OU VIR,,STD,,,,
2452768.4728,15.199,0.15,,CR,MLF,,000-BBV-540,000-BBV-542,,UGSU+E,0,,Z,12.1,13.85,,OU VIR,,STD,,,,
2452768.4735,15.271,0.15,,CR,MLF,,000-BBV-540,000-BBV-542,,UGSU+E,0,,Z,12.1,13.85,,OU VIR,,STD,,,,
2452768.4742,15.165,0.15,,CR,MLF,,000-BBV-540,000-BBV-542,,UGSU+E,0,,Z,12.1,13.85,,OU VIR,,STD,,,,
2452768.4749,15.138,0.15,,CR,MLF,,000-BBV-540,000-BBV-542,,UGSU+E,0,,Z,12.1,13.85,,OU VIR,,STD,,,,
